Magnolia 5 UI,Magnolia 6 UI,Tests,Conversion support,Conversion test
info.magnolia.ui.form.field.definition.SwitchableFieldDefinition,info.magnolia.ui.field.ConfiguredSwitchableFieldDefinition (switchableField),"ConfiguredSwitchableFieldDefinitionTest
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/switchable.yaml
",SwitchableFieldDefinitionConverter,"SwitchableFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/switchable_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/switchable_default.yaml
"
info.magnolia.ui.form.field.definition.TextFieldDefinition,info.magnolia.ui.field.TextFieldDefinition (textField),"magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/with_default_value.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/switchable.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/multi_field_with_name_decoration.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/textfield_multiple_datatypes.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_form.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_multi.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/multi_button_labels.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/nested_i18n.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/multiValuePropertyFormNonLocalised.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_multi_lex.yaml",TextFieldDefinitionConverter,"TextFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/fieldTypesMix.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_subchildren.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/composite_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_nested.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/switchable_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_delegating.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/multi_default.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/composite_default.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/switchable_default.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/text.yaml
magnolia-ui-framework-compatibility/src/test/resources/fooModule/fieldTypes/text.yaml
"
info.magnolia.ui.form.field.definition.TwinColSelectFieldDefinition,info.magnolia.ui.field.TwinColSelectFieldDefinition (twinColSelectField),,TwinColSelectFieldDefinitionConverter,"TwinColSelectFieldDefinitionConverterTest

magnolia-ui-framework-compatibility/src/test/resources/fooModule/forms/twincolumn.yaml
"
info.magnolia.ui.framework.field.nodetype.NodeTypeSelectFieldDefinition,info.magnolia.ui.field.AbstractSelectFieldDefinition (-),,,"
"
,,,,
FieldValidatorDefinition,,,,
info.magnolia.ui.form.validator.definition.ConfiguredFieldValidatorDefinition,info.magnolia.ui.field.ConfiguredFieldValidatorDefinition (-),,,"
"
info.magnolia.ui.form.validator.definition.EmailValidatorDefinition,info.magnolia.ui.field.EmailValidatorDefinition (emailValidator),,,"
"
info.magnolia.ui.form.validator.definition.RegexpValidatorDefinition,info.magnolia.ui.field.RegexpValidatorDefinition (regexpValidator),,,"
"
,,,,
Transformer,,,,
info.magnolia.ui.form.field.transformer.basic.BCryptTransformer,,,,"
"
info.magnolia.ui.form.field.transformer.basic.BasicTransformer,,,,"
"
info.magnolia.ui.form.field.transformer.basic.ListToSetTransformer,No direct replacement,,,"
"
info.magnolia.ui.form.field.transformer.basic.NotNullInitialStringValueTransformer,No direct replacement,,,"
"
info.magnolia.ui.form.field.transformer.composite.CompositeTransformer,info.magnolia.ui.field.CompositeFieldDefinition (compositeField),"magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/multi_field_with_name_decoration.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_multi.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/nested_i18n.yaml
magnolia-ui-framework-jcr/src/test/resources/fooModule/forms/simple_multi_lex.yaml",,"
"
